session_id,date,session_start,session_source,session_medium,session_campaign,default_channel_group,landing_page,gclid,conversion_event,event_name,event_timestamp
S0051,2026-05-03 05:01:00,2026-05-03 05:01:00,(direct),(none),,Direct,https://www.harborgoods.com/pages/contact?utm_source=(direct)&utm_medium=(none),,,page_view,
S0052,2026-05-08 09:14:00,2026-05-08 09:14:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/,CjwKCAjw678pqr,,page_view,
S0053,2026-05-21 00:14:00,2026-05-21 00:14:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/,CjwKCAjw901stu,,page_view,
S0054,2026-05-11 01:32:00,2026-05-11 01:32:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/harbor-chair?utm_source=facebook&utm_medium=paid,,,page_view,
S0055,2026-05-22 07:13:00,2026-05-22 07:13:00,(direct),(none),,Direct,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0056,2026-05-24 09:36:00,2026-05-24 09:36:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0057,2026-05-26 07:51:00,2026-05-26 07:51:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/collections/outdoor?utm_source=instagram&utm_medium=social,,,page_view,
S0058,2026-05-04 01:42:00,2026-05-04 01:42:00,instagram,cpc,organic-social,Organic Social,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0059,2026-05-14 07:55:00,2026-05-14 07:55:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/,CjwKCAjw678pqr,,page_view,
S0060,2026-05-21 10:06:00,2026-05-21 10:06:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/coastal-table?utm_source=google&utm_medium=cpc,CjwKCAjw678pqr,,page_view,
S0061,2026-05-11 12:55:00,2026-05-11 12:55:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/collections/outdoor,CjwKCAjw456def,,page_view,
S0062,2026-05-07 08:28:00,2026-05-07 08:28:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0063,2026-05-06 04:29:00,2026-05-06 04:29:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/?utm_source=facebook&utm_medium=paid,,,page_view,
S0064,2026-05-15 12:55:00,2026-05-15 12:55:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/pages/contact,,,page_view,
S0065,2026-05-04 00:41:00,2026-05-04 00:41:00,(direct),(none),,Direct,https://www.harborgoods.com/,,,page_view,
S0066,2026-05-03 12:54:00,2026-05-03 12:54:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/outdoor?utm_source=facebook&utm_medium=paid,,,page_view,
S0067,2026-05-14 07:30:00,2026-05-14 07:30:00,(direct),(none),spring-sale-social,Direct,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0068,2026-05-29 00:10:00,2026-05-29 00:10:00,(direct),(none),organic-social,Direct,https://www.harborgoods.com/,,,page_view,
S0069,2026-05-13 04:59:00,2026-05-13 04:59:00,facebook,referral,partner-q2,Referral,https://www.harborgoods.com/products/coastal-table?utm_source=facebook&utm_medium=referral,,,page_view,
S0070,2026-05-14 11:46:00,2026-05-14 11:46:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/pages/contact,,,page_view,
S0071,2026-05-22 11:31:00,2026-05-22 11:31:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0072,2026-05-10 03:03:00,2026-05-10 03:03:00,(direct),(none),,Direct,https://www.harborgoods.com/collections/sale?utm_source=(direct)&utm_medium=(none),,,page_view,
S0073,2026-05-18 00:47:00,2026-05-18 00:47:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/,,,page_view,
S0074,2026-05-02 09:30:00,2026-05-02 09:30:00,(direct),(none),,Direct,https://www.harborgoods.com/pages/contact,,,page_view,
S0075,2026-05-06 00:32:00,2026-05-06 00:32:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/collections/outdoor?utm_source=google&utm_medium=cpc,CjwKCAjw123abc,,page_view,
S0076,2026-05-20 01:43:00,2026-05-20 01:43:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0077,2026-05-13 01:56:00,2026-05-13 01:56:00,(direct),(none),,Direct,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0078,2026-05-19 09:02:00,2026-05-19 09:02:00,(direct),(none),,Direct,https://www.harborgoods.com/?utm_source=(direct)&utm_medium=(none),,,page_view,
S0079,2026-05-14 10:37:00,2026-05-14 10:37:00,(direct),(none),,Direct,https://www.harborgoods.com/pages/contact,,,page_view,
S0080,2026-05-11 04:13:00,2026-05-11 04:13:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/collections/sale,CjwKCAjw789ghi,,page_view,
S0081,2026-05-08 04:25:00,2026-05-08 04:25:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/sale?utm_source=facebook&utm_medium=paid,,,page_view,
S0082,2026-05-21 04:29:00,2026-05-21 04:29:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/,,,page_view,
S0083,2026-05-01 07:39:00,2026-05-01 07:39:00,(direct),(none),,Direct,https://www.harborgoods.com/,,,page_view,
S0084,2026-05-03 08:13:00,2026-05-03 08:13:00,(direct),(none),,Direct,https://www.harborgoods.com/products/harbor-chair?utm_source=(direct)&utm_medium=(none),,,page_view,
S0085,2026-05-05 05:56:00,2026-05-05 05:56:00,(direct),(none),spring-sale-search,Direct,https://www.harborgoods.com/collections/outdoor,CjwKCAjw789ghi,,page_view,
S0086,2026-05-10 02:28:00,2026-05-10 02:28:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/pages/contact,,,page_view,
S0087,2026-05-23 04:39:00,2026-05-23 04:39:00,partnerco,Cpc,partner-q2,Referral,https://www.harborgoods.com/collections/sale?utm_source=partnerco&utm_medium=Cpc,,,page_view,
S0088,2026-05-01 10:52:00,2026-05-01 10:52:00,(direct),(none),,Direct,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0089,2026-05-30 10:06:00,2026-05-30 10:06:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0090,2026-05-04 01:47:00,2026-05-04 01:47:00,(direct),(none),,Direct,https://www.harborgoods.com/collections/outdoor?utm_source=(direct)&utm_medium=(none),,,page_view,
S0091,2026-05-09 04:38:00,2026-05-09 04:38:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/sale,,,page_view,
S0092,2026-05-11 03:43:00,2026-05-11 03:43:00,facebook,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw345mno,,page_view,
S0093,2026-05-09 00:05:00,2026-05-09 00:05:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/coastal-table?utm_source=bing&utm_medium=cpc,CjwKCAjw901stu,,page_view,
S0094,2026-05-09 00:00:00,2026-05-09 00:00:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0095,2026-05-21 04:10:00,2026-05-21 04:10:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/coastal-table,CjwKCAjw345mno,,page_view,
S0096,2026-05-23 06:35:00,2026-05-23 06:35:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/?utm_source=google&utm_medium=cpc,CjwKCAjw123abc,,page_view,
S0097,2026-05-29 11:57:00,2026-05-29 11:57:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/pages/contact,,,page_view,
S0098,2026-05-02 05:37:00,2026-05-02 05:37:00,(direct),(none),,Direct,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0099,2026-05-14 02:02:00,2026-05-14 02:02:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/products/harbor-chair?utm_source=newsletter&utm_medium=email,,,page_view,
S0100,2026-05-29 12:55:00,2026-05-29 12:55:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw456def,,page_view,
S0101,2026-05-22 03:42:00,2026-05-22 03:42:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw901stu,,page_view,
S0102,2026-05-18 06:39:00,2026-05-18 06:39:00,(direct),(none),spring-sale-bing,Direct,https://www.harborgoods.com/collections/outdoor?utm_source=(direct)&utm_medium=(none),CjwKCAjw456def,,page_view,
S0103,2026-05-28 02:51:00,2026-05-28 02:51:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0104,2026-05-29 06:01:00,2026-05-29 06:01:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/sale,,,page_view,
S0105,2026-05-30 05:50:00,2026-05-30 05:50:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/collections/sale?utm_source=instagram&utm_medium=social,,,page_view,
S0106,2026-05-28 11:51:00,2026-05-28 11:51:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0107,2026-05-06 12:44:00,2026-05-06 12:44:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/coastal-table,CjwKCAjw901stu,,page_view,
S0108,2026-05-02 07:14:00,2026-05-02 07:14:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/coastal-table?utm_source=facebook&utm_medium=paid,,,page_view,
S0109,2026-05-12 04:52:00,2026-05-12 04:52:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0110,2026-05-08 00:42:00,2026-05-08 00:42:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0111,2026-05-11 04:55:00,2026-05-11 04:55:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/harbor-chair?utm_source=google&utm_medium=cpc,CjwKCAjw789ghi,,page_view,
S0112,2026-05-21 08:25:00,2026-05-21 08:25:00,(direct),(none),spring-sale-bing,Direct,https://www.harborgoods.com/pages/contact,CjwKCAjw789ghi,,page_view,
S0113,2026-05-01 01:56:00,2026-05-01 01:56:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0114,2026-05-19 04:02:00,2026-05-19 04:02:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/pages/contact?utm_source=google&utm_medium=cpc,CjwKCAjw012jkl,,page_view,
S0115,2026-05-12 11:50:00,2026-05-12 11:50:00,FaceBook,email,may-newsletter,Email,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0116,2026-05-17 01:24:00,2026-05-17 01:24:00,(direct),cpc,,Direct,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0117,2026-05-02 11:27:00,2026-05-02 11:27:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/pages/contact?utm_source=google&utm_medium=cpc,CjwKCAjw901stu,,page_view,
S0118,2026-05-18 10:46:00,2026-05-18 10:46:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/collections/sale,CjwKCAjw678pqr,,page_view,
S0119,2026-05-07 05:27:00,2026-05-07 05:27:00,(direct),(none),spring-sale-search,Direct,https://www.harborgoods.com/collections/sale,CjwKCAjw789ghi,,page_view,
S0120,2026-05-20 05:42:00,2026-05-20 05:42:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/?utm_source=partnerco&utm_medium=referral,,,page_view,
S0121,2026-05-24 04:32:00,2026-05-24 04:32:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/collections/sale,,,page_view,
S0122,2026-05-14 05:25:00,2026-05-14 05:25:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw345mno,,page_view,
S0123,2026-05-05 03:26:00,2026-05-05 03:26:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/coastal-table?utm_source=bing&utm_medium=cpc,CjwKCAjw678pqr,,page_view,
S0124,2026-05-24 02:39:00,2026-05-24 02:39:00,(direct),(none),,Direct,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0125,2026-05-13 08:53:00,2026-05-13 08:53:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw789ghi,,page_view,
S0126,2026-05-07 06:50:00,2026-05-07 06:50:00,(direct),(none),,Direct,https://www.harborgoods.com/pages/contact?utm_source=(direct)&utm_medium=(none),,,page_view,
S0127,2026-05-21 05:29:00,2026-05-21 05:29:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0128,2026-05-22 03:32:00,2026-05-22 03:32:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/collections/sale,,,page_view,
S0129,2026-05-06 10:05:00,2026-05-06 10:05:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/pages/contact?utm_source=newsletter&utm_medium=email,,,page_view,
S0130,2026-05-22 10:39:00,2026-05-22 10:39:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/,,,page_view,
S0131,2026-05-27 12:15:00,2026-05-27 12:15:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw456def,,page_view,
S0132,2026-05-26 03:09:00,2026-05-26 03:09:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/?utm_source=google&utm_medium=cpc,CjwKCAjw456def,,page_view,
S0133,2026-05-16 09:54:00,2026-05-16 09:54:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/,,,page_view,
S0134,2026-05-15 06:56:00,2026-05-15 06:56:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/pages/contact,CjwKCAjw456def,,page_view,
S0135,2026-05-23 11:24:00,2026-05-23 11:24:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/products/coastal-table?utm_source=instagram&utm_medium=social,,,page_view,
S0136,2026-05-08 02:41:00,2026-05-08 02:41:00,(direct),(none),spring-sale-bing,Direct,https://www.harborgoods.com/,CjwKCAjw901stu,,page_view,
S0137,2026-05-28 12:56:00,2026-05-28 12:56:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/coastal-table,CjwKCAjw456def,,page_view,
S0138,2026-05-06 12:44:00,2026-05-06 12:44:00,Facebook,(none),,Direct,https://www.harborgoods.com/products/coastal-table?utm_source=Facebook&utm_medium=(none),,,page_view,
S0139,2026-05-18 03:58:00,2026-05-18 03:58:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/,,,page_view,
S0140,2026-05-15 02:51:00,2026-05-15 02:51:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/collections/sale,,,page_view,
S0141,2026-05-17 08:38:00,2026-05-17 08:38:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/products/coastal-table?utm_source=newsletter&utm_medium=email,,,page_view,
S0142,2026-05-20 11:57:00,2026-05-20 11:57:00,(direct),(none),,Direct,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0143,2026-05-27 08:28:00,2026-05-27 08:28:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/sale,,,page_view,
S0144,2026-05-28 07:28:00,2026-05-28 07:28:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/collections/outdoor?utm_source=newsletter&utm_medium=email,,,page_view,
S0145,2026-05-27 10:17:00,2026-05-27 10:17:00,partnerco,cpc,partner-q2,Referral,https://www.harborgoods.com/pages/contact,,,page_view,
S0146,2026-05-21 03:17:00,2026-05-21 03:17:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/,,,page_view,
S0147,2026-05-23 04:15:00,2026-05-23 04:15:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/products/harbor-chair?utm_source=newsletter&utm_medium=email,,,page_view,
S0148,2026-05-11 08:05:00,2026-05-11 08:05:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/outdoor,,,page_view,
S0149,2026-05-08 06:44:00,2026-05-08 06:44:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/collections/sale,,,page_view,
S0150,2026-05-07 01:26:00,2026-05-07 01:26:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/products/harbor-chair?utm_source=instagram&utm_medium=social,,,page_view,
S0151,2026-05-18 07:26:00,2026-05-18 07:26:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/collections/outdoor,CjwKCAjw901stu,,page_view,
S0152,2026-05-14 06:57:00,2026-05-14 06:57:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/pages/contact,,,page_view,
S0153,2026-05-23 00:54:00,2026-05-23 00:54:00,(direct),(none),partner-q2,Direct,https://www.harborgoods.com/pages/contact?utm_source=(direct)&utm_medium=(none),,,page_view,
S0154,2026-05-13 07:00:00,2026-05-13 07:00:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0155,2026-05-25 06:54:00,2026-05-25 06:54:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/products/coastal-table,,,page_view,
S0156,2026-05-18 11:47:00,2026-05-18 11:47:00,(direct),(none),,Direct,https://www.harborgoods.com/pages/contact?utm_source=(direct)&utm_medium=(none),,,page_view,
S0157,2026-05-29 03:31:00,2026-05-29 03:31:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0158,2026-05-14 07:01:00,2026-05-14 07:01:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0159,2026-05-22 10:51:00,2026-05-22 10:51:00,instagram,social,organic-social,Organic Social,https://www.harborgoods.com/collections/sale?utm_source=instagram&utm_medium=social,,,page_view,
S0160,2026-05-06 07:58:00,2026-05-06 07:58:00,facebook,paid,spring-sale-social,Paid Social,https://www.harborgoods.com/pages/contact,,,page_view,
S0161,2026-05-18 00:58:00,2026-05-18 00:58:00,FaceBook,social,organic-social,Organic Social,https://www.harborgoods.com/pages/contact,,,page_view,
S0162,2026-05-22 00:05:00,2026-05-22 00:05:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/products/coastal-table?utm_source=bing&utm_medium=cpc,CjwKCAjw456def,,page_view,
S0163,2026-05-28 07:11:00,2026-05-28 07:11:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/products/harbor-chair,CjwKCAjw012jkl,,page_view,
S0164,2026-05-11 03:29:00,2026-05-11 03:29:00,newsletter,email,may-newsletter,Email,https://www.harborgoods.com/products/harbor-chair,,,page_view,
S0165,2026-05-25 06:17:00,2026-05-25 06:17:00,partnerco,referral,partner-q2,Referral,https://www.harborgoods.com/products/coastal-table?utm_source=partnerco&utm_medium=referral,,,page_view,
S0166,2026-05-09 01:30:00,2026-05-09 01:30:00,google,cpc,spring-sale-search,Paid Search,https://www.harborgoods.com/collections/sale,CjwKCAjw345mno,,page_view,
S0167,2026-05-02 05:14:00,2026-05-02 05:14:00,bing,cpc,spring-sale-bing,Paid Search,https://www.harborgoods.com/,CjwKCAjw901stu,,page_view,
